LOG_NO,"NOTIFIER, VENDOR",DESCRIPTION,REP_DATE,ACCESS_NO 
84314,"PAUL MUNROE- ENERTECH, BECHTEL POWER","HYDRAULIC OIL LEAKAGE OF SOLENOID VALVES, ACTUATORS, OR ACCUMULATORS",08/29/1984,8409070008
84315,"PAUL MUNROE- ENERTECH, BECHTEL POWER",VALVE OPERATOR HYDRAULIC PUMP ACCUMULATOR CYCLES MORE FREQUENTLY THAN EXPECTED,08/30/1984,8409070148
84316,CONAX BUFFALO,LOSS OF ELECTRICAL CONTINUITY IN POWER LEAD GLAND ASSEMBLIES QUALIFIED FOR NUCLEAR SERVICE,08/31/1984,8409050352
84317,"CAROLINA POWER AND LIGHT, TRANSAMERICA DELAVAL, MELROSE SPRING AND TOOL WORKS",VALVE SPRINGS ON DIESEL ENGINES,09/07/1984,8409240048
84318,TENNESSEE VALLEY AUTHORITY,UNQUALIFIED FLEX HOSE CONNECTIONS,09/05/1984,8409240058
84319,"CAROLINA POWER AND LIGHT,REES INSTRUMENTS",PROTECTION CIRCUITRY TEST SWITCHES NOT MEETING INSTALLATION CONTINUITY CHECKS,08/31/1984,8409240065
84320,"FLORIDA POWER AND LIGHT,BECHTEL POWER, WESTINGHOUSE","DEENERGIZATION OF INTERLOCKING RELAYS TO SAFETY RELATED VALVES IN RESIDUAL HEAT REMOVAL PUMP SUCTION AND DISCHARGE LINES, RESULTING IN INABILITY TO OPEN VALVES",07/24/1984,8407270372
84321,TENNESSEE VALLEY AUTHORITY,SINGLE FAILURE OR LOSS OF COOLANT ACCIDENT AND LOSS OF OFFSITE POWER COULD CAUSE LOSS OF ELECTRIC BOARD ROOM COOLING EQUIPMENT,08/08/1984,8408160508
84322,COMBUSTION ENGINEERING,EXCESSIVE DRIFT OF SETPOINT POTENTIOMETERS,09/10/1984,8409170238
84323,KANSAS GAS AND ELECTRIC,REPORT ON OPEN ITEMS,08/31/1984,8409140063
84324,"WISCONSIN PUBLIC SERVICE, UNDERWRITERS LABORATORIES, PROTECTIVE MATERIALS",CERTAIN BULLET AND FIRE RESISTANT PROTECTIVE DOORS,09/05/1984,8409110208
84325,"TENNESSEE VALLEY AUTHORITY, TRANSAMERICA DELAVAL",DESIGN CONTROL AND SEISMIC QUALIFICATION PROBLEMS WITH CONTROL PANELS,08/23/1984,8409100066
84326,COMPUTER PRODUCTS,POWER SUPPLY MEETS MINIMUM GAP REQUIREMENTS,08/15/1984,8409100005
84327,"TENNESSEE VALLEY AUTHORITY,VELAN VALVE",PRESSURE DROP ACROSS 2 ½ INCH STOP OR CHECK VALVE,05/01/1984,8409100381
84328,"PHILADELPHIA ELECTRIC, BECHTEL POWER, ROCKBESTOS",POSSIBLE CABLE INSULATION DAMAGE,08/17/1984,8409100323
84329,"TENNESSEE VALLEY AUTHORITY,ITT GRINNELL",PIPE CLAMPS,08/28/1984,8409240223
84330,"CAROLINA POWER AND LIGHT,CTI NUCLEAR",WELDS IN REACTOR AUXILIARY BUILDING EMERGENCY AIR CLEANING UNIT,08/31/1984,8409240215
84331,"TENNESSEE VALLEY AUTHORITY,BORG-WARNER",OVERTORQUED STUDS ON GATE VALVE MOTOR OPERATORS,07/10/1984,8407250346
84332,"COMMONWEALTH EDISON,BOEING ENGINEERING, ITT GRINNELL",LAMINAR INDICATION ON STEAM GENERATOR SNUBBERS,09/25/1984,8410010255
84333,"PUBLIC SERVICE ELECTRIC AND GAS, GENERAL ELECTRIC",HEA RELAYS,06/01/1984,8406120497
84334,"NORTHERN STATES POWER, TECHNINAT CORPORATION",DEFECTS IN 18 INCH SA- 333 RESIDUAL HEAT REMOVAL PIPE,08/22/1984,8408280127
84335,"PENNSYLVANIA POWER AND LIGHT, BECHTEL POWER, UNISTRUT","BASE METAL CRACKING IN FITTINGS USED ON CLASS IE ELECTRICAL RACEWAYS AND HEATING, VENTILATION, AND AIR CONDITIONING SUPPORTS",03/07/1984,8404090326
84336,"GENERAL ELECTRIC, TAYLOR-FORGE",COOLING PROCESS TOO SLOW ON HEAT TREATMENT OF RECIRCULATION SYSTEM END CAPS,09/07/1984,ml010920029
84337,WESTINGHOUSE,POTENTIAL OVERPRESSURE CONDITION IN COOLING SYSTEM,07/13/1984,8407250326
84338,"DETROIT EDISON, SPRAGUE ELECTRIC, BBC BROWN BOVERI",POTENTIALLY DEFECTIVE CAPACITOR IN SOLID STATE TRIP DEVICE,07/23/1984,8408080516
84339,LOUIS ALLIS COMPANY,DEFECTS ON MOTOR ALTERNATOR SETS,09/14/1984,8409240209
84340,"PUBLIC SERVICE OF COLORADO,TEXAS BOLT",DEFECTIVE THREADED ROD MATERIAL,09/06/1984,8409210195
84341,"TRANSAMERICA DELAVAL,BASLER ELECTRIC, RTE DELTA",VOLTAGE REGULATOR FLASHING AT 200 REVOLUTIONS PER MINUTE COULD HEAT EMERGENCY DEISEL GENERATOR CONTROL PANEL,09/18/1984,ml010920036
84342,"WESTINGHOUSE, GENERAL ELECTRIC",INVERTER INSULATION BREAKDOWN AND FERRORESONANT TRANSFORMER FAILURE,09/26/1984,8410090096
84343,"ARIZONA PUBLIC SERVICE, COMBUSTION ENGINEERING",CRACKS IN CONTROL ELEMENT ASSEMBLY SHROUD,09/14/1984,8409280486
84344,"TENNESSEE VALLEY AUTHORITY,E-MAX INCORPORATED",INCORRECT WIRING CONNECTIONS ON ISOLATOR CABINETS,09/17/1984,8409280590
84345,"DETROIT EDISON, GUYON ALLOYS, REACTOR CONTROLS",WELDOLETS LACKING COMPLETE CHEMICAL DOCUMENTATION,09/11/1984,8409280072
84346,"CAROLINA POWER AND LIGHT, GUYON ALLOYS, BONNEY FORGE",STAINLESS STEEL SOCKOLETS AND WELDOLETS NOT SUPPLIED AS SPECIFIED,09/14/1984,8409280617
84347,"UNION ELECTRIC, CRANE DEMING PUMPS,BECHTEL POWER",FAILURES OF MODEL 1549 POSITIVE DISPLACEMENT GEAR PUMPS USED AS KEEPWARMLUBRICATING OIL PUMPS ON EMERGENCY DIESEL GENERATORS,09/12/1984,8409280085
84348,"ARIZONA PUBLIC SERVICE, COMBUSTION ENGINEERING, BECHTEL POWER",THERMOWELLS IN REACTOR COOLING SYSTEM,09/14/1984,8409280105
84349,"DUBOSE STEEL, NORTHWESTERN STEEL AND WIRE, DANIEL INTERNATIONAL",STEEL BEAMS HAD TWISTED OR SKEWED WEBS IN TWO HEATS,08/13/1984,ml010920041
84350,"PHILADELPHIA ELECTRIC, PAUL-MUNROE ENERTECH",LEAKING ELECTRIC HYDRAULIC VALVE ACTUATORS,09/04/1984,8410020016
84351,"PHILADELPHIA ELECTRIC, PAUL-MUNROE ENERTECH",LEAKING ELECTRIC HYDRAULIC VALVE ACTUATORS,09/13/1984,8410020058
84352,TRANSAMERICA DELAVAL,IMPROPERLY TORQUED FUEL LEVER CAP SCREWS AND UNPINNED LEVERS,10/02/1984,8410090056
84353,"WESTINGHOUSE, LIMITORQUE",MOTOR DEFICIENCY ON OPERATORS,09/26/1984,8410090120
84354,"GENERAL ELECTRIC, TOPAZ ELECTRONICS",LOW VOLTAGE CONTROLS FOR DEDICATED INVERTERS IMPROPERLY SET,10/08/1984,8410250115
84355,"ARIZONA PUBLIC SERVICE, COOPER ENERGY",LACK OF DOCUMENTATION ON DIESEL GENERATOR COMPONENTS,09/18/1984,8410050530
84356,"ARIZONA PUBLIC SERVICE, BECHTEL POWER",IMPROPERLY WELDED FLANGE,09/18/1984,8410050255
84357,"ARIZONA PUBLIC SERVICE, COMBUSTION ENGINEERING",SETPOINT POTENTIOMETERS IN PLANT PROTECTION SYSTEM DRIFTED OUTSIDE TOLERANCE,09/18/1984,8410090410
84358,ITT BARTON INSTRUMENTS,"MALFUNCTION OF MODEL 580A, 581A, AND 583A DIFFERENTIAL PRESSURE SWITCHES",10/11/1984,ml010920038
84359,"TENNESSEE VALLEY AUTHORITY,BIF (GENERAL SIGNAL)",FAILURE OF BUTTERFLY VALVE SEATS,09/18/1984,8410110402
84360,"GEORGIA POWER, PULLMAN CONSTRUCTION","PARTIAL PENETRATION WELDS IN HEATING, VENTILATION, AND AIR CONDITIONING DUCT SUPPORTS WHERE FULL WELDS ARE REQUIRED BY DESIGN",09/19/1984,8410110232
84361,GEORGIA POWER,DIFFERENT FOUNDATION SETTLEMENTS IN NUCLEAR SERVICE COOLING WATER TOWER AND NEARBY VALVE HOUSES,09/13/1984,8410110567
84362,"LOUISIANA POWER AND LIGHT, GULFALLOY, BONNEY FORGE",SCRAPPING OF 20 FITTINGS,04/24/1984,8405070278
84363,"DUKE POWER,C AND D BATTERIES",FOREIGN MATERIAL IN BATTERIES,09/19/1984,8410120070
84364,"DUKE POWER, BAHNSON SERVICE","HEATING, VENTILATION, AND AIR CONDITIONING EQUIPMENT WELDS AND MATERIALS",10/09/1984,8410150003
84365,"WASHINGTON PUBLIC POWER, GENERAL ELECTRIC",MAIN STEAM RELIEF VALVE SOLENOIDS FAILED DUE TO GROUNDING OF COILS,09/17/1984,8409280559
84366,COMMONWEALTH EDISON,SAFETY RELIEF VALVE LIFTED AND RESEATED THREE TIMES BECAUSE OF GROUNDED SOLENOID,09/21/1984,8410100587
84367,"HOUSTON LIGHTING AND POWER, BECHTEL POWER, NUCLEAR POWER SERVICE",SNUBBER ASSEMBLY REAR BRACKETS,09/25/1984,8410150258
84368,"TENNESSEE VALLEY AUTHORITY,LOUIS ALLIS",CRACKING OF LOW PRESSURE COOLANT INJECTION MOTOR- GENERATOR SET COIL CLAMP AND RECTIFIER MOUNTING RINGS,10/09/1984,8410250008
84369,"GENERAL ELECTRIC, CROSBY VALVE AND GAGE",GROUND FAULTS OF MODEL IMF-2 ACTUATOR SOLENOIDS,06/15/1984,8407120579
84370,GENERAL ELECTRIC,INADEQUATE ELECTRICAL SEPARATION OF SWITCHES,06/04/1984,ml010920046
84371,W. J. WOOLLEY,MISSILE DOOR CALCULATION ERRORS,09/06/1984,8410180069
84372,"CAROLINA POWER AND LIGHT,W. J. WOOLLEY",MISSILE DOOR CALCULATION ERRORS,10/18/1984,8411010164
84373,"G. H. BETTIS,CLOW CORPORATION",ACTUATORS WITH SWOLLEN SEALS CAUSED BY REACTION OF ETHYLENE PROPYLENE SEALS WITH LUBRICANT MOBILE 28,08/30/1984,8409180529
84374,"PHILADELPHIA ELECTRIC, GUYON ALLOYS, BONNEY FORGE",MATERIALS FURNISHED WITHOUT CHEMICAL CHECK,08/24/1984,8409210347
84375,"CAROLINA POWER AND LIGHT, WESTINGHOUSE",POTENTIAL OVERPRESSURIZATION OF COMPONENT COOLING WATER SYSTEM,09/07/1984,8409240082
84376,"BECHTEL POWER, NUCLEAR POWER SERVICE",REAR BRACKET TO SNUBBER INTERFERENCE,09/26/1984,8410150482
84377,"CAROLINA POWER AND LIGHT, TRANSAMERICA DELAVAL",SEISMIC QUALIFICATION TEST FAILURE OF STARTING AIR CHECK VALVES FOR EMERGENCY DIESEL ENGINE GENERATORS,08/16/1984,8409100044
84378,"ARIZONA PUBLIC SERVICE, ANCHOR/DARLING, NAMCO CONTROL",MATERIAL FOR PIPE PLUGS ON MAIN STEAM ISOLATION VALVE,10/18/1984,8410260039
84379,KANSAS GAS AND ELECTRIC,STATUS REPORTS ON OPEN ITEMS,10/08/1984,8410290055
84380,"ARIZONA PUBLIC SERVICE, ANCHOR/DARLING, COMBUSTION ENGINEERING",DOWNCOMER FEEDWATER ISOLATION VALVE FAILING TO CLOSE WITHIN REQUIRED TIME,10/03/1984,8410290002
84381,"HOUSTON LIGHTING AND POWER, WESTINGHOUSE, GENERAL ELECTRIC",CAPACITOR TERMINATIONS IN FERRORESONANT TRANSFORMERS USED IN7.5 KVA INVERTERS,10/15/1984,8410290211
84382,"CLEVELAND ELECTRIC ILLUMINATING, CONAX, BUFFALO",POWER LEAD GLAND ASSEMBLY PARTS,10/10/1984,8410290109
84383,"CAROLINA POWER AND LIGHT,WFI NUCLEAR PRODUCTS, SOUTHWEST FABRICATING","INCORRECT MATERIAL IN 6,000 POUND PER SQUARE INCH REDUCERS",10/04/1984,8410190327
84384,CAROLINA POWER AND LIGHT,LEAK OR BREAK ON CERTAIN PIPING SYSTEM OUTSIDE PIPE TUNNEL,10/03/1984,8410220002
84385,"ARIZONA PUBLIC SERVICE,COOPER ENERGY, BECHTEL POWER",BUILDUP OF MATERIAL ON DIESEL GENERATOR HEAT EXCHANGERS,09/25/1984,8410160319
84386,"TENNESSEE VALLEY AUTHORITY,BYRON JACKSON",EMERGENCY RAW COOLING WATER PUMP SHAFT,10/02/1984,8410190403
84387,"TENNESSEE VALLEY AUTHORITY, WESTINGHOUSE",ENVIRONMENTAL TEMPERATURES IN MAIN STEAM VALVE ROOMS,10/02/1984,8410190395
84388,GENERAL ELECTRIC,ERRONEOUS DESIGN ASSUMPTION FOR POSTULATED PIPE RUPTURE ON REACTOR SIDE OF BREAK IN FEEDWATER SYSTEM,10/26/1984,8410300190
84389,"MISSISSIPPI POWER AND LIGHT, TRANSAMERICA DELAVAL",POTENTIAL DEFECT IN PISTON SKIRT CASINGS,10/05/1984,8410190024
84390,"INDIANA AND MICHIGAN ELECTRIC, AMERICAN ELECTRIC POWER, WESTINGHOUSE",EFFECTS OF SUPERHEATED STEAM FOLLOWING POSTULATED MAIN STEAM LINE BREAK,08/03/1984,8408140164
84391,"DUKE POWER, WESTINGHOUSE",EFFECTS OF SUPERHEATED STEAM FOLLOWING POSTULATED MAIN STEAM LINE BREAK,09/04/1984,8409240330
84392,"CONSUMERS POWER, ITT GRINNELL, PACIFIC SCIENTIFIC",CAPSTAN SPRINGS IN MECHANICAL SHOCK ARRESTORS,07/27/1984,8410160391
84393,"CONSUMERS POWER, LIMITORQUE",MAIN STEAM ISOLATION VALVE FAILED TO STROKE CLOSED BECAUSE OF BENT TRIPPER ARM ON TORQUE SWITCH,08/16/1984,8408300086
84394,"AMERICAN ELECTRIC POWER,SHANSTROM NUCLEAR",ERROR IN DETECTOR CODE FOR ANALYZING RAW FLUX MAP DATA,08/10/1984,8408160527
84395,"IOWA ELECTRIC LIGHT AND POWER, GENERAL ELECTRIC",TURBINE SCRAM BYPASS SETPOINT ERROR,08/28/1984,8408240118
84396,"TENNESSEE VALLEY AUTHORITY, WESTINGHOUSE",PEAK CONTAINMENT TEMPERATURE,10/17/1984,8411010316
84397,"TENNESSEE VALLEY AUTHORITY, WESTINGHOUSE",LOOSE MATERIAL IN STEAM GENERATOR,10/10/1984,8410310719
84398,"TENNESSEE VALLEY AUTHORITY,G. H. BETTIS, HENRY PRATT",SWELLED ETHYLENE PROPYLENE SEALS,10/17/1984,8411010196
84399,"MISSISSIPPI POWER AND LIGHT, AGASTAT RELAY, BECHTEL POWER",IMPROPER SEATING OF RELAY CR0095 CONNECTION,10/15/1984,8411010153
84400,"TOLEDO EDISON, VELAN VALVE",IMPROPER SEATING OF SWING CHECK VALVE DISC,11/01/1984,8411160131
84401,BBC BROWN BOVERI,MODEL ITE-60 VOLTAGE BALANCE RELAY OPERATED OUTSIDE SPECIFICATIONS,10/29/1984,8411020137
84402,"PUBLIC SERVICE ELECTRIC AND GAS, VALCOR ENGINEERING, BECHTEL POWER",UNDERRATED ELECTRICAL CABLE,09/28/1984,8411060600
84403,"ILLINOIS POWER, PHOENIX STEEL",ASTM A-36 PLATE MATERIAL,08/30/1984,8409130222
84404,"LOUISIANA POWER AND LIGHT,SOLID STATE CONTROLS",FAILURE OF 72 CAPACITORS IN STATIC UNINTERRUPTIBLE POWER SUPPLY INVERTERS,08/28/1984,8409130408
84405,"DETROIT EDISON, CAPITOL MANUFACTURING, WISMER AND BECKER",CARBON STEEL PIPE COUPLINGS AND CAPS,08/24/1984,8409130481
84406,"DETROIT EDISON, GUYON ALLOYS, SANDVIK STEEL",LINEAR INDICATIONS ON 5/8 INCH SEAMLESS TUBING,09/18/1984,8410050217
84407,"DETROIT EDISON, BOEING ENGINEERING, ITT GRINNELL",STEAM GENERATOR SNUBBER FAILURE DUE TO NONCONFORMITY OF HIGH PRESSURE METALLIC SEAL,09/26/1984,8410120248
84408,TENNESSEE VALLEY AUTHORITY,EXCESSIVE LEAKAGE OF MAIN STEAM ISOLATION VALVES,10/19/1984,8411010202
84409,"CLEVELAND ELECTRIC ILLUMINATING, ROSEMONT",POTENTIAL LEAKAGE PATH IN ELECTRONICS HOUSING THREADS,10/16/1984,8411030214
84410,"GULF STATES UTILITIES, ROSEMONT",GALVANIZED CARBON STEEL PLUGS IN MODEL 1153 SERIES TRANSMITTERS REPLACED WITH STAINLESS STEEL PLUGS PER VENDOR INSTRUCTION,10/15/1984,8411030721
84411,TENNESSEE VALLEY AUTHORITY,RESIDUAL HEAT REMOVAL TESTABLE CHECK VALVES FAILED LOCAL LEAK RATE TEST BECAUSE OF VALVE DISC HINGE ARM END PLAY,10/19/1984,8411050042
84412,"COLT INDUSTRIES, GPE CONTROLS",WATER JACKET CHECK VALVES USED ON FOUR DIESEL GENERATORS,10/26/1984,8411060175
84413,"COMPUTER PRODUCTS,BAILEY CONTROLS",SHORTING OF ELECTRICAL BOARD SURGE PROTECTION DEVICES,10/23/1984,8411090214
84414,"RUSKIN COMPANY, WALDINGER CORPORATION",FAILURE OF FIRE DAMPERS TO CLOSE UNDER NORMAL DUCT PRESSURE,11/06/1984,8411190524
84415,"NORTHEAST NUCLEAR, PACIFIC VALVE, NAMCO",ELECTRICAL MOTORS EA-180 LIMIT SWITCHES,10/23/1984,8411130215
84416,"GULF STATES UTILITIES,W. J. WOOLLEY",AIRLOCK MECHANICAL INTERLOCKING SYSTEM,10/29/1984,8411140320
84417,COMBUSTION ENGINEERING,EXCESSIVE SETPOINT DRIFT IN SOME POTENTIOMETERS IN AUXILIARY FEEDWATER ACTUATION,10/26/1984,8411140419
84418,"TOLEDO EDISON, VELAN VALVE",IMPROPER SEATING OF DISC IN FOUR HIGH PRESSURE INJECTION SWING CHECK VALVES,11/01/1984,8411160131
84419,ALLIED C AND D POWER,WRAP RETAINER MATERIAL USED IN STATIONARY BATTERIES,11/12/1984,8411260340
84420,W. J. WOOLLEY,MISSILE DOOR CALCULATION ERRORS,11/16/1984,8411260398
84421,HEXCEL CORPORATION,ABSORBING PIPE RESTRAINTS MADE IN 1978-1979 HAVE BEEN FOUND TO HAVE AVERAGE DYNAMIC CRUSH STRENGTH BELOW ACCEPTABLE VALUES,11/08/1984,8411260400
84422,"C. E. THURSTON AND SONS,H. B. FULLER",INSULATION ADHESIVE LOT NUMBER HFCU-112 WAS FOUND TO BE OUT OF SPECIFICATION,11/19/1984,ml010922005
84423,UNITED ENGINEERS,SLIPPAGE OF BOLTED STRUT FITTINGS ON RACEWAY SUPPORT,11/26/1984,8412010052
84424,BORG-WARNER,IMPROPER DESIGN AND MANUFACTURING OF 20 INCH GATE VALVE,11/21/1984,8412010035
84425,"CAROLINA POWER AND LIGHT, GUYON ALLOYS, BONNEY FORGE",SOCKOLETS AND WELDOLETS NOT SUPPLIED AS SPECIFIED,11/14/1984,8412030565
84426,WESTINGHOUSE,GUIDE SCREW LOCKED IN PLACE IN CONTROL ROD DRIVE MECHANISMS,12/07/1984,8412140277
84427,"WASHINGTON PUBLIC POWER, PARSONS PEEBLES, STEWART AND STEVENSON",EMERGENCY DEISEL GENERATOR HIGH VIBRATION ALARM CAUSED BY SLIP RING END BEARING TURNING ON SHAFT INSULATION,11/21/1984,8412030279
84428,"G. H. BETTIS, MOBIL OIL",POTENTIAL DEGRADATION OF ACTUATOR STROKING TIMES BECAUSE OF ETHYLENE PROPYLENE SEALS ABSORBING LUBRICANT MOBIL 28,12/07/1984,8408080516
84429,"CAROLINA POWER AND LIGHT, WESTINGHOUSE",7.5 KVA INVERTER CAPACITOR TERMINATIONS,11/20/1984,8412140187
84430,"TENNESSEE VALLEY AUTHORITY, BABCOCK AND WILCOX, LAMBDA ELECTRONICS",POWER SUPPLY BANDWIDTH,11/20/1984,8412140234
84431,"CAROLINA POWER AND LIGHT,W. J. WOOLLEY",MISSILE DOOR CALCULATIONAL ERRORS,11/20/1984,8412140121
84432,"TENNESSEE VALLEY AUTHORITY,BAILEY CONTROLS, BABCOCK AND WILCOX",FRONT COVERS SEPARATED FROM MODULES,11/27/1984,ml021910565
84433,"ARIZONA PUBLIC SERVICE, WALDINGER, TITUS PRODUCTS",CONTAINMENT AIR SUPPLY REGISTERS WOULD NOT PROPERLY CYCLE BECAUSE LOUVER ADJUSTMENT TENSION WIRE FRACTURED,11/27/1984,8412130625
84434,"TENNESSEE VALLEY AUTHORITY, BABCOCK AND WILCOX",HIGH PRESSURE INJECTION NOZZLES AND THERMAL SLEEVES,11/29/1984,8412130611
84435,"PAUL MUNROE- ENERTECH,FLO-TORK",DEFECTIVE VALVE OPERATORS,11/15/1984,8412070051
84436,"GEORGIA POWER, SOUTHERN COMPANY SERVICES, BECHTEL POWER",FLOOR RESPONSE SPECTRAL PEAK BROADENING,12/14/1984,8412260288
84437,"ARIZONA PUBLIC SERVICE, BECHTEL POWER, COMSIP",LACK OF SUPPORT RAILS FOR CORE PROTECTION CALCULATOR OR CONTROL ELEMENT ASSEMBLY OPERATOR MODULES,12/08/1984,8412200111
84438,"CAROLINA POWER AND LIGHT, SIEMENS-ALLIS, EBASCO SERVICES",TRIP COIL REMAINS ENERGIZED AFTER TRIP OF 69 KV BREAKER,11/08/1984,8411290574
84439,KANSAS GAS AND ELECTRIC,STATUS REPORT ON OPEN ITEMS,12/05/1984,8412240013
83001,"HOUSTON LIGHTING AND POWER, WESTINGHOUSE, ROCKBESTOS",TRIAXIAL CABLE USED IN ELECTRICAL PENETRATIONS,06/30/1983,8307080476
83002,"NORTHEAST NUCLEAR ENERGY, WESTINGHOUSE",POWER SUPPLY CARD HEAT SINKS OF WESTINGHOUSE 7300 PROCESS PROTECTION SYSTEM,07/01/1983,8307110390
83003,"UNION ELECTRIC, METAL BELLOWS",FLEXIBLE HOSE ASSEMBLY WITH 60 DEGREE INSTEAD OF 90 DEGREE FITTING AT DISCHARGE OF REACTOR COOLANT PUMP MOTOR,07/01/1983,8307110231
83004,"CAROLINA POWER AND LIGHT,ITE-GOULD",WELD DEFICIENCIES ON CLASS IE 480-VOLT MOTOR CONTROL CENTERS,07/13/1983,8307220145
83005,"PENNSYLVANIA POWER AND LIGHT, BECHTEL POWER",INADEQUACIES IN DESIGN VERIFICATION OF MAXIMUM LENGTHS OF LOW VOLTAGE POWER AND CONTROL CABLES,07/15/1983,8307220483
83006,"SNUPPS, YARWAY, BECHTEL POWER",THROTTLING VALVES WITH CRACKED SEATS,07/18/1983,8308040368
83007,"SNUPPS, BECHTEL POWER",EXCESSIVE CONTROL CIRCUIT VOLTAGE DROP,07/22/1983,8308030102
83008,"TENNESSEE VALLEY AUTHORITY, LIMITORQUE, WESTINGHOUSE",SHEARED MOTOR PINION KEYS IN MOTOR OPERATORS,08/26/1983,8309070241
83009,"CAROLINA POWER AND LIGHT,ITE-GOULD",WELDING ON CLASS IE 480-VOLT MOTOR CONTROL CENTERS,08/29/1983,8309070243
83010,"CAROLINA POWER AND LIGHT,ITT HAMMELL",WELD DEFECTS IN CHILLED WATER VALVE,08/30/1983,8309070239
83011,"PACIFIC SCIENTIFIC, METTEK",FAILURE ANALYSIS OF CAPSTAN SPRINGS,09/14/1983,8309300243
83012,GENERAL ELECTRIC,HEA RELAY MISOPERATION RESULTING FROM COMBINATION OF TOLERANCES,09/20/1983,8309270170
83013,"ELCEN METAL PRODUCTS, IMPELL",VARIABLE SPRINGS,09/26/1983,8309300315
83014,TRANSAMERICA DELAVAL,ENGINE MOUNTED ELECTRICAL CABLES SHOULD BE REPLACED WITH 90 C RATED CABLE,09/27/1983,8309300288
83015,"MISSISSIPPI POWER AND LIGHT, GENERAL ELECTRIC, AGASTAT RELAY",FAILURE OF GP SERIES RELAYS TO CHANGE STATE ON DEMAND,09/22/1983,8310030374
83016,"PACIFIC SCIENTIFIC, JOHN EVANS’ SONS, METTEK",SNUBBER FAILURE DURING SHOCK ARRESTOR TEST  CAUSED BY BROKEN CAPSTAN SPRING,09/14/1983,8310120092
83017,"GOULD, SIEMENS-ALLIS","POTENTIAL DEFECTS IN MOLDED CASE 100- AMPERE FRAME, MULTI- POLE E AND HE SERIES CIRCUIT BREAKERS",09/26/1983,8310070163
83018,"YANKEE ATOMIC ELECTRIC, GOULD,BBC BROWN BOVERI",UNITIZED NON- QUALIFIED STARTER SPARE PARTS,09/28/1983,8310060343
83019,EBASCO SERVICES,DEFICIENCIES IN QUALITY RESULTING FROM FRAUDULENT ACTIONS BY SUPPLIERS,09/29/1983,8310070285
83020,FOXBORO,UNDERRANGE CHARACTERISTIC OF MODEL N-E11GM TRANSMITTER,09/30/1983,8310070301
83021,BURNS AND ROE,BLOCKED VENT PATHS FROM REACTOR BUILDING ROOMS CONTAINING HIGH ENERGY LINES,09/29/1983,8310040232
83022,BURNS AND ROE,CONTROL CIRCUITS FOR SAFETY-RELATED VALVES CAC-FCV-1A AND 1B POWERED FROM NON- CLASS IE POWER SUPPLY,09/29/1983,8310040331
83023,"CONSUMERS POWER,ITT GRINNELL",DEFICIENT SNUBBER VALVE BLOCKS,09/30/1983,8310060221
83024,FLORIDA POWER,APPARENT INCREASE IN SCOPE OF FRAUDULENT AND SUBSTANDARD ACTIVITIES BY UNSCRUPULOUS SUPPLIERS,10/10/1983,8310130136
83025,GOULD,"POTENTIAL DEFECTS IN MOLDED  CASE 100 AMPERE FRAME,  MULTI- POLE E AND HE SERIES CIRCUIT BREAKERS",10/14/1983,8310210255
83026,TRANSAMERICA DELAVAL,POTENTIAL DEFECT WITH ENGINE MOUNTE D ELECTRICAL CABLES,10/20/1983,8310270206
83027,CAROLINA POWER AND LIGHT,REVIEW OF QA PROGRAM ADDRESSING NRC INFORMATION NOTICE S 83-07 AND 83-01 AND NRCBULLETINS 83-06 AND 83-07,10/21/1983,8310250571
83028,WESTINGHOUSE,MISLOADED PELLETS IN FUEL ASSEMBLY,10/25/1983,8311030013
83029,"NAVY, AUTOMATION INDUSTRIES",CORRODED WIRE STRANDS IN CROSS- SECTIONAL AREAS IN IR- 192 SOURCE (MODEL 200-520-009),10/17/1983,8310310273
83030,PACIFIC SCIENTIFIC,SHOCK ARRESTORS WITH CRACKED CAPSTAN SPRING TANGS,10/20/1983,8310310135
83031,GENERAL ELECTRIC,HFA RELAY FAILED TO RECORD VOLTAGE DATA,10/25/1983,8311010379
83032,AMERICAN WARMING AND VENTILATION,MODEL 7401 DAMPER BRACKETS NOT TACKWELDED TO BLADES AS REQUIRED,10/25/1983,8311010370
83033,"BECHTEL POWER, SNUPPS","DESIGN DEFICIENCY INVOLVING COMBINATION SUPPORTS FOR CLASS IE CABLE TRAYS AND HEATING, VENTILATION, AND AIR CONDITIONING DUCTS",10/27/1983,8310310074
83034,"HENRY PRATT, BUFFALO WEAVING AND BELTING",POTENTIAL DEFECT IN RUBBER VALVE SEAT FOR 48-INCH CONTAINMENT PURGE VALVE,10/28/1983,8311070555
83035,GENERAL ELECTRIC,"SHORT CIRCUIT BUS BRACING INADEQUATE FOR 10 CYCLE, 78,000 AMPERE TEST",10/28/1983,8311090348
83036,"SOUTH CAROLINA ELECTRIC AND GAS, GILBERT/COMMON WEALTH",FAILURE TO MEET SEPARATION CRITERIA ON MAIN CONTROL BOARD,10/31/1983,8311090283
83037,G. H. BETTIS,DAMPER MECHANICAL TRAVEL STOP SCREW SETTINGS,10/31/1983,8311080315
83038,"ILLINOIS POWER, OKONITE",SEEPAGE OF OIL FROM CABLE,11/01/1983,8311070500
83039,BBC BROWN BOVERI,"LEAKING TANTALUM CAPACITORS IN CLASS IE, SA-1 RELAYS",11/01/1983,8311100099
